amino_acid_peptide_or_protein	interacts_with	indicator_reagent_or_diagnostic_aid
neuroreactive_substance_or_biogenic_amine	SIM_issue_in	biomedical_occupation_or_discipline
cell_or_molecular_dysfunction	SIM_process_of	pathologic_function
pharmacologic_substance	interacts_with	hazardous_or_poisonous_substance
element_ion_or_isotope	SIM_issue_in	occupation_or_discipline
pathologic_function	SIM_process_of	genetic_function
chemical_viewed_structurally	SIM_affects	molecular_function
pathologic_function	SIM_process_of	disease_or_syndrome
lipid	SIM_causes	neoplastic_process
cell_or_molecular_dysfunction	SIM_process_of	physiologic_function
