10492202	_derivationally_related_form	_also_see	01592456
11880791	_hypernym	_has_part	07713395
05783940	_hypernym	_derivationally_related_form	00632627
05968710	_hypernym	_derivationally_related_form	00605086
04779649	_derivationally_related_form	_also_see	01624633
10900730	_instance_hypernym	_derivationally_related_form	01698271
05022457	_derivationally_related_form	_also_see	00843146
02712443	_derivationally_related_form	_similar_to	01256332
08756884	_instance_hypernym	_hypernym	08491826
01059400	_derivationally_related_form	_hypernym	04776699
