162	144	0.8888888888888888	process_of(X,Y) <= process_of(X,A), process_of(A,B), process_of(Y,B)
130	113	0.8692307692307693	part_of(X,Y) <= part_of(X,A), isa(B,A), interacts_with(B,Y)
104	90	0.8653846153846154	causes(X,Y) <= isa(X,A), causes(A,B), degree_of(Y,B)
130	112	0.8615384615384616	causes(X,Y) <= isa(X,A), causes(A,B), degree_of(B,Y)
124	109	0.8790322580645161	process_of(X,Y) <= process_of(X,A), location_of(A,B), indicates(B,Y)
141	121	0.8581560283687943	process_of(X,Y) <= affects(A,X), produces(B,A), degree_of(B,Y)
127	113	0.889763779527559	process_of(X,Y) <= affects(A,X), produces(B,A), degree_of(Y,B)
112	98	0.875	complicates(X,Y) <= disrupts(X,A), connected_to(A,B), causes(B,Y)
140	121	0.8642857142857143	affects(X,Y) <= interacts_with(X,A), disrupts(A,B), precedes(Y,B)
170	147	0.8647058823529412	process_of(X,Y) <= precedes(A,X), process_of(A,B), process_of(Y,B)
